"Provincia","Muertes_2019","Muertes_2020","Ratio_2020_2019"
"PATAZ",199,172,0.864321608040201
"PAUCAR DEL SARA SARA",31,14,0.451612903225806
"PAUCARTAMBO",143,170,1.18881118881119
"PICOTA",71,145,2.04225352112676
"PISCO",639,1123,1.75743348982786
"PIURA",3844,7895,2.05385015608741
"POMABAMBA",121,137,1.13223140495868
"PUERTO INCA",32,46,1.4375
"PUNO",1100,1527,1.38818181818182
"PUTUMAYO",1,0,0
"QUISPICANCHI",403,390,0.967741935483871
"RECUAY",71,72,1.01408450704225
"REQUENA",115,220,1.91304347826087
"RIOJA",388,487,1.25515463917526
"RODRIGUEZ DE MENDOZA",51,60,1.17647058823529
"SAN ANTONIO DE PUTINA",181,187,1.03314917127072
"SAN IGNACIO",140,221,1.57857142857143
"SAN MARCOS",179,191,1.06703910614525
"SAN MARTIN",1102,1616,1.46642468239564
"SAN MIGUEL",186,176,0.946236559139785
"SAN PABLO",84,73,0.869047619047619
"SAN ROMAN",1801,2493,1.38423098278734
"SANCHEZ CARRION",307,400,1.30293159609121
"SANDIA",167,136,0.81437125748503
"SANTA",2278,4309,1.89157155399473
"SANTA CRUZ",99,110,1.11111111111111
"SANTIAGO DE CHUCO",163,181,1.11042944785276
"SATIPO",452,582,1.28761061946903
"SECHURA",186,318,1.70967741935484
"SIHUAS",148,147,0.993243243243243
"SIN REGISTRO",470,510,1.08510638297872
"SUCRE",37,53,1.43243243243243
"SULLANA",1573,2746,1.74570883661793
"TACNA",1499,2203,1.46964643095397
"TAHUAMANU",7,22,3.14285714285714
"TALARA",455,903,1.98461538461538
"TAMBOPATA",598,962,1.60869565217391
"TARATA",20,23,1.15
"TARMA",513,652,1.27095516569201
"TAYACAJA",404,449,1.11138613861386
"TOCACHE",137,239,1.74452554744526
"TRUJILLO",5970,10010,1.67671691792295
"TUMBES",842,1425,1.69239904988124
"UCAYALI",79,138,1.74683544303797
"URUBAMBA",232,282,1.21551724137931
"UTCUBAMBA",278,423,1.52158273381295
"VICTOR FAJARDO",80,96,1.2
"VILCAS HUAMAN",62,66,1.06451612903226
"VIRU",233,523,2.24463519313305
"YAROWILCA",83,102,1.2289156626506
"YAULI",145,139,0.958620689655172
"YAUYOS",19,31,1.63157894736842
"YUNGAY",237,250,1.05485232067511
"YUNGUYO",184,265,1.44021739130435
"ZARUMILLA",86,185,2.15116279069767
